merchant_website_id,merchant_id,merchant_website_url,is_default,is_active,created_by,updated_by,created_at,updated_at,sort_updated_at
2d8c0a6b-6198-4ec2-ad2d-679533bdc9c5,a80a3a70-3d77-4b66-9376-bef381f3d6ff,https://www.packtowl.com/,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2018-04-25 17:24:17+00,2021-11-16 03:23:18+00,2021-11-16 03:23:18+00
11941e76-9182-43f4-bc3f-0f33ac8ea33d,e6b95b5c-425e-4e27-903d-2c1aebe8982b,http://www.scubapro.johnsonoutdoors.com,false,true,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2019-09-13 16:14:02+00,2019-09-13 16:14:02+00,2019-09-13 16:14:02+00
a066ae1d-ac9e-4715-a3f1-e0f12c724451,8cf58015-7c16-47df-af64-140212d383fc,http://www.savilerowonline.com,false,false,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
462ea402-24bf-4a86-878e-18a6c4f53d40,b8db6a66-e005-4b17-89d5-a582c7aa062c,http://shearcomfort.com,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,cd407fd2-81f4-40c0-ad09-d50cf97d0d10,2018-04-25 17:24:17+00,2020-05-22 17:17:22+00,2020-05-22 17:17:22+00
352e7548-1915-49d3-b3b8-bd0404f023c4,f72c4a27-0bde-4e3c-965a-55a7b58183ad,https://www.tbirdbookstore.com/,true,true,,0bf18bc2-52e4-48ff-b099-c6c83f5c71e7,2018-04-25 17:24:17+00,2018-10-01 15:55:45+00,2018-10-01 15:55:45+00
36e0bd9f-d6c0-47c6-ac78-b212d6215c28,1a1960ed-a60c-4f95-af03-3640398a2230,http://www.germancandy4you.com,true,true,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
9f13c16a-db19-4192-8c5d-2bc8be561bc2,623d133d-616d-4f82-9709-1d3f4d358f6b,https://www.platy.com,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,2c35664e-7aae-4834-98d5-9b4a87d5d82f,2018-04-25 17:24:17+00,2019-05-30 00:23:54+00,2019-05-30 00:23:54+00
06965053-37f7-4991-a15a-5b0f37e95beb,c50478f6-128c-44fc-8842-1ecb780b03fe,https://ravean.com/,true,true,,271d1f6d-719c-43a0-b202-b7aeb931c8f3,2018-04-25 17:24:17+00,2019-08-08 15:38:35+00,2019-08-08 15:38:35+00
9f3de825-5b88-4fd6-85a8-3ae1ec97b2d8,abec9dc7-2676-4324-aa5d-d3c3a0cfed2c,https://www.seallinegear.com/,true,true,f2d8afd8-7de6-4858-8b5c-db12fb02072b,2c35664e-7aae-4834-98d5-9b4a87d5d82f,2018-04-25 17:24:17+00,2019-05-30 00:24:30+00,2019-05-30 00:24:30+00
e2bdc89d-c44c-4cea-b38c-67d359bff96f,fd4ff402-93e7-4c5b-b46f-2632192622d9,http://www.spyoptic.com,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,3b4a8b32-eb6b-4f92-bb31-b280a17bee9b,2018-04-25 17:24:17+00,2022-02-09 17:52:12+00,2022-02-09 17:52:12+00
ce1b22d2-824e-4b00-bf82-19fec014b28b,b9b3da7f-1cd1-41ca-a632-2fe3f1a57bab,https://accessories.tcarms.com/,true,true,4b4880f5-cf94-4160-9680-be2265aa09b2,c31b45b5-9547-477a-a740-538268bbf3f6,2018-04-25 17:24:17+00,2019-07-22 20:10:02+00,2019-07-22 20:10:02+00
b84035d5-5baf-4ffe-90ad-842b8ee652df,2eebf38b-6de5-4657-82d6-4a791109a097,https://www.surfboards.com,true,true,,,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00,2018-04-25 17:24:13+00
